cell,x,y,cell_type
C1,35.42,14117.27,eL2_3
C2,54,5090.07,eL6
C3,47.06,9057.87,Astro
C4,48.53,10542.76,eL6
C5,34.81,13471.79,eL2_3
C6,36.52,8217.54,PVALB
C7,43.87,10146.95,Endo
C8,41.8,14328.23,VIP
C9,55.85,1167.1,SST
C10,80.31,11407.66,Astro
C11,41.08,15518.8,Smc
C12,62.73,3131.69,eL6
C13,67.12,4788.28,Endo
C14,73.69,7496.63,eL6
C15,78.22,10363.46,eL4
C16,51.37,11867.76,eL2_3
C17,82.68,12720.38,eL2_3
C18,66.26,2102.15,Astro
C19,88.07,5753.05,Micro
C20,87.22,9438.64,eL4
C21,91.32,363.83,eL6
C22,120.19,4303.51,eL6
C23,80.42,5491.95,Astro
C24,108.1,10835.44,Endo
C25,145.72,13166.65,eL4
C26,111.71,3540.12,Oligo
C27,97.87,4530.7,eL6
C28,120.51,14383.77,VIP
C29,131.42,15642.93,Smc
C30,115.21,915.15,Oligo
C31,117.59,506.02,eL5
C32,122.79,7300.96,eL5
C33,149.63,4681.37,eL6
C34,161.1,8380.51,Astro
C35,177.73,3116.08,Oligo
C36,160.71,12119.47,PVALB
C37,145.25,12481.87,eL2_3
C38,194.16,8785.18,eL4
C39,209.88,10047.08,eL6
C40,187.27,5235,eL6
C41,194.21,9669.86,Astro
C42,228.5,13681.47,VIP
C43,204.82,6367.41,eL5
C44,205.28,10205.58,Astro
C45,215.88,3458.78,eL6
C46,223.2,5605.15,eL6
C47,256.46,3665.33,Reln
C48,257.31,11690.26,VIP
C49,228.11,9920.52,eL4
C50,273.11,14092.82,Astro
C51,267.82,15645.42,Smc
C52,281.51,3035.53,Oligo
C53,273.61,7983.46,eL6
C54,249,83.59,HPC
C55,276.66,2628.54,Oligo
C56,255.44,11228.36,Endo
C57,303.4,12605.58,eL2_3
C58,306.09,15388.32,Astro
C59,265.86,3325.44,Oligo
C60,285.32,9413.06,eL4
C61,283.97,4796.73,eL6
C62,299.56,7247.54,eL5
C63,333.67,10311.91,eL4
C64,309.97,12317.45,eL2_3
C65,321.22,5324.46,eL6
C66,310.66,13039.66,eL2_3
C67,335.53,4062.32,eL6
C68,331.31,8398.02,Astro
C69,361.6,12710.9,Endo
C70,358.9,5846.14,eL6
C71,329.55,9606.8,eL4
C72,362.42,10448.73,eL4
